guna_word;spanish_word;synonyms
Ibeler;Personaje de Babigar;
Olowaibibbiler;Personaje de Babigar;
Ibmardued;Cocinar;
Ibmargulleged;Alimento;Lo que se puede comer, Comestible, , , 
Ibgulleged;Alimento;Comestible, , , , 
Agla;Altillo;Piso de arriba 
Ibmargwallu;Grasa;Manteca, , , , 
Ibmaribed;Dueño de algo ;Pudiente, , , , 
Ibsidsi;Lunar;Peca, , , , 
Gugi;Lunar;
Ibua;Qué es;
Ibya;Ojos;Vista, , , , 
Dala;Ojos;Vista, , , , 
Ibya;Tienda;Negocio, , , , 
Ibyabiired;Bizco;Bisojo, , , , 
Ibyanis;Lágrimas;
Aglaed;Caerse;Desplomarse, Desmoronar, , , 
Ibyanisa;Lágrimas;
Ibyasiga;Pestañas;
Ibyasulid;Ciego;Invidente, , , , 
Dalasulid;Ciego;Invidente, , , , 
Ibyed;Fulgor;Destello, Resplandor, , , 
Iddagga;Cercano;Bastante cerca, , , , 
Iddaggagwa;Cercano;Bastante cerca, , , , 
Waligga;Cercano;
Iddiggigwa;Próximo;Cerca, , , , 
Muisgwa;Próximo;Cerca, , , , 
Ammuggued;Caerse;Desplomarse, , , , 
Iddired;Romper hilo o cadena;Hacer pausa, , , , 
Iddisig;Un poco más allá;Hacia allá, , , , 
Wesig;Un poco más allá;Hacia allá, , , , 
Egesig;Un poco más allá;Hacia allá, , , , 
Iddoaggwagwa;Con cautela;Con cuidado, , , , 
Binsaaggwa;Con cautela;Con cuidado, , , , 
Iddoged;Escuchar;Oir, Sentir, Probar, Semana, 
Iddogedneg;Casa del congreso;Casa de reuniones, , , , 
Orgunneg;Casa del congreso;
Onmaggedneg;Casa del congreso;
Agli;Mangle;
Ogaryagunneg;Casa del congreso;
Iddogedneg;Casa del congreso;
Iddogunneg;Casa del congreso;
Idsi;Grano;Varicela, , , , 
Idsomagged;Saltar;Brincar, , , , 
Idued;Guia;Dirigente, , , , 
Dummad;Guia;Dirigente, , , , 
Dulanied;Guia;Dirigente, , , , 
Idued;Adelantarse;Ir primero, , , , 
Ied;Mujer especialista;Ceremonia de corte de pelo, , , , 
Aglidug;guabina de manglar;
Ieged;Olvidar;Dejar de lado, Borrar de la memoria, , , 
igar;Vía;Calle, tratado, , , 
Igarduled;Guia;Dirigente, , , , 
Iggo;Aguja;Espina, púa, aguijón, , 
Iggobarmayed;Dedal;
